"Ticker","Name","Volume","Prev_Close","Open","Close","Change_pct","Trade_Date"
"ABJC","SERVAIR ABIDJAN  COTE D'IVOIRE",8882,3015,3100,3015,-2.58,2026-05-06
"BICB","BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN",757,5225,5225,5200,-0.95,2026-05-06
"BICC","BICI COTE D'IVOIRE",445,24980,24980,24995,2.25,2026-05-06
"BNBC","BERNABE COTE D'IVOIRE",2376,1345,1345,1350,0.37,2026-05-06
"BOAB","BANK OF AFRICA BENIN",6096,9195,9250,9340,0.97,2026-05-06
"BOABF","BANK OF AFRICA BURKINA FASO",4911,5410,5400,5405,-0.09,2026-05-06
"BOAC","BANK OF AFRICA COTE D'IVOIRE",12058,8790,8850,8785,-0.73,2026-05-06
"BOAM","BANK OF AFRICA MALI",4529,4700,4690,4680,-0.43,2026-05-06
"BOAN","BANK OF AFRICA NIGER",5287,3500,3505,3500,0,2026-05-06
"BOAS","BANK OF AFRICA SENEGAL",3508,7225,7240,7225,0,2026-05-06
"CABC","SICABLE COTE D'IVOIRE",1113,3450,3500,3410,-2.57,2026-05-06
"CBIBF","CORIS BANK INTERNATIONAL BURKINA FASO",563,16550,16500,16700,0.91,2026-05-06
"CFAC","CFAO MOTORS COTE D'IVOIRE",3910,1400,1325,1400,5.66,2026-05-06
"CIEC","CIE COTE D'IVOIRE",24862,3190,3100,3200,6.31,2026-05-06
"ECOC","ECOBANK COTE D'IVOIRE",1400,16000,15900,16100,0.62,2026-05-06
"ETIT","Ecobank Transnational Incorporated TOGO",316849,29,29,29,0,2026-05-06
"FTSC","FILTISAC COTE D'IVOIRE",1352,2220,2220,2200,-0.9,2026-05-06
"LNBB","LOTERIE NATIONALE DU BENIN",15521,3950,3950,3950,0,2026-05-06
"NEIC","NEI-CEDA COTE D'IVOIRE",6595,1710,1790,1715,-4.19,2026-05-06
"NSBC","NSIA BANQUE COTE D'IVOIRE",1993,14005,14300,14010,0.07,2026-05-06
"NTLC","NESTLE COTE D'IVOIRE",1076,12000,11610,11900,0,2026-05-06
"ONTBF","ONATEL BURKINA FASO",2185,2710,2775,2710,-2.52,2026-05-06
"ORAC","ORANGE COTE D'IVOIRE",2240,15000,15000,15200,1.33,2026-05-06
"ORGT","ORAGROUP TOGO",11099,2975,2975,2975,-7.47,2026-05-06
"PALC","PALM COTE D'IVOIRE",7714,7800,7800,7800,6.7,2026-05-06
"PRSC","TRACTAFRIC MOTORS COTE D'IVOIRE",1495,3700,3650,3700,-6.09,2026-05-06
"SAFC","SAFCA COTE D'IVOIRE",5796,3500,3355,3500,0,2026-05-06
"SCRC","SUCRIVOIRE COTE D'IVOIRE",19817,2090,2055,2085,0.24,2026-05-06
"SDCC","SODE COTE D'IVOIRE",1087,9000,8950,9000,-0.99,2026-05-06
"SDSC","AFRICA GLOBAL LOGISTICS COTE D'IVOIRE",3111,1670,1725,1685,-2.32,2026-05-06
"SEMC","EVIOSYS PACKAGING SIEM COTE D'IVOIRE",9141,1475,1500,1450,-3.33,2026-05-06
"SGBC","SOCIETE GENERALE COTE D'IVOIRE",2728,33000,33000,33400,1.21,2026-05-06
"SHEC","VIVO ENERGY COTE D'IVOIRE",6988,1840,1850,1840,-0.54,2026-05-06
"SIBC","SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE",4086,7100,7000,7050,-0.7,2026-05-06
"SICC","SICOR COTE D'IVOIRE",22,4290,4295,4285,-0.12,2026-05-06
"SIVC","ERIUM COTE D’IVOIRE",13395,2780,2700,2810,3.31,2026-05-06
"SLBC","SOLIBRA COTE D'IVOIRE",72,37050,37400,37500,1.21,2026-05-06
"SMBC","SMB COTE D'IVOIRE",616,11550,11550,11500,-0.43,2026-05-06
"SNTS","SONATEL SENEGAL",9322,28900,28900,28900,0,2026-05-06
"SOGC","SOGB COTE D'IVOIRE",857,7500,7500,7500,-1.32,2026-05-06
"SPHC","SAPH COTE D'IVOIRE",2954,7175,6720,7175,6.77,2026-05-06
"STAC","SETAO COTE D'IVOIRE",4532,2890,2800,2850,-3.39,2026-05-06
"STBC","SITAB COTE D'IVOIRE",9217,21000,20500,20800,2.72,2026-05-06
"TTLC","TOTALENERGIES MARKETING COTE D'IVOIRE",4177,2745,2740,2740,-0.18,2026-05-06
"TTLS","TOTALENERGIES MARKETING SENEGAL",481,3000,3010,3005,0.17,2026-05-06
"UNLC","UNILEVER COTE D'IVOIRE",19,59000,59000,59000,-2.48,2026-05-06
"UNXC","UNIWAX COTE D'IVOIRE",10519,1865,1880,1865,-1.06,2026-05-06
